job_title,description,requirements,post_date,viewed,considered,experience_min,experience_max,career_level,education_level,salary_min,salary_max,hidden_salary,gender,vacancies,company_name,country,city,district
Senior Cost Engineer,"Overview / Responsibilities
Wood is recruiting for a Senior Cost Engineer to join our team in Dubai, UAE. Accountabilities of the job: Assist in reviewing PAFs mobilising/demobilising and manhours for different contractor’s personnel
Assist Scheduler, Lead Cost Engineer and Project Controls Manager in ad hoc project controls duties as required
Ensure that all costs incurred are included in the total project cost, including VOWD analysis
Collect data on spending and commitments, post them against estimated values, and make a forecast for that particular item of the cost estimate
Assist Lead Cost Engineer in key quantity tracking, bulk sampling, MTO analysis, unit rate analysis, EVM reporting
Assist Lead Cost Engineer in drawing up monthly cash flow
Monitor forecast deviations and report status of these budgets in a timely manner throughout the projects
Play a key role in the technical management of all contractors and sub-contractors’ activities who are responsible in the achievement of the project objectives for cost tracking
Ensure that cost risk analysis is performed and applied to forecasting activities
Ensures all proposed change requests receive cost impact assessments beginning with Execute project phase
Support the auditing efforts by the banker’s engineers chartered by the external financing institutions, including commitment information
Assist Lead Cost Engineer in maintaining Eco Sys

Skills / Qualifications
A bachelor’s degree in a technical discipline, or equivalent, is preferred but not mandatory, anyhow there is need to share a common understanding, based on “scientific principles and techniques”, with the engineering function
A minimum of 10-15 years’ experience in a process industry production and/or engineering environment with large (>$100MM) capital project management experience. Mega-project experience (>$1000MM) preferred
Thorough working knowledge of Project Controls practices

Company Overview
Wood is a global leader in consulting and engineering, helping to unlock solutions to critical challenges in energy and materials markets. We provide consulting, projects and operations solutions in 60 countries, employing around 35,000 people. www.woodplc.com
Diversity Statement
We are an equal opportunity employer that recognises the value of a diverse workforce. All suitably qualified applicants will receive consideration for employment on the basis of objective criteria and without regard to the following (which is a non-exhaustive list): race, colour, age, religion, gender, national origin, disability, sexual orientation, gender identity, protected veteran status, or other characteristics in accordance with the relevant governing laws.",,2023-10-12,,,,,,,,,True,,1,Wood,United Arab Emirates,Dubai,
Senior Technical Talent Acquisition Consultant,"We're looking for a Senior Technical Talent Acquisition Consultant with minimum of 4 years experience in hiring for Tech roles to join our dyanmic  team. You will be responsible of hiring for tecnical roles within the tech industry such as Devops, AWS, Java, Info-Sec among other roles and dealing with several clients. You will be leading the process from translating the brief into a sourcing strategy to maximize the possibility of placing the roles successfully. - Fluency in English is a MUST - Leadership skills and agility - Experience from 4-5 years  ",,2023-10-12,,,,,,,,,True,,1,Antal International - Egypt,Egypt,Cairo,
Test Engineer,"Job Description: Job Summary We are looking for passionate test engineers who have an eye for quality and performance to ensure applications are well tested to join us as part of the team. As a successful Test Engineer, you should have a good knowledge of testing methodologies and test automation tools used in the industry; as well as implementing system integration tests that fulfill the functional and technical requirements. Roles And Responsibilities Design testing scenarios that will demonstrate conformance to all functional and non-functional requirements as defined in business or technical specifications Develop test plans and ensure sufficient test coverage Develop test scripts for the test automation tools used by the project team Coordinate and collaborate with others in analyzing the requirements to ensure testing scenarios covers all requirements Review and analyze test results to determine the cause of the discrepancy and communicate with the team Generate test reports from the automated test executions Determine performance testing models to be used and validate them Identify inadequacies and improvement opportunities in the methods/standards and recommend changes Requirements Candidate should possess a technical Diploma / Bachelor's degree in Computing/Information Technology or related field Possess good analytical and troubleshooting skills Should have at least 3 years of experience in software development and/or testing Experience in automated testing tools such as Selenium and Micro Focus UFTExperience in web service testing tools such as Postman and Soap UIExperience in performance testing tools such as Micro Focus Load Runner and JMeter Good understanding of software development Proficient in testing and development methodologies Good verbal and written communication skill Ability to work effectively in a team or independently Good To Have Comfortable with fronting client Ability to conduct user acceptance testing with users Experience in Agile development environments Experience in test management tools such as Micro Focus ALMExperience in test automation frameworks such as Cucumber and Karate",,2023-10-12,,,,,,,,,True,,1,DXC.technology,Egypt,Cairo,
TLS COOPs - KSA,"Description At Pw C, we measure success by our ability to create the value that our clients and our people are looking for. Our reputation lies in building lasting relationships with our clients and a focus on delivering value in all we do. We’re a network of firms in 158 countries with more than 236,000 people who are committed to delivering world-class capabilities and quality in assurance, tax and advisory services. Established in the region for 40 years, Pw C Middle East employs over 4,200 people across 12 countries. Complementing our depth of industry expertise and breadth of skills is our sound knowledge of local business environments across the Middle East region. Our tailored solutions help our clients meet the challenges and opportunities of doing business in the Middle East market and beyond. Job Description & Summary About our Co-op Program Our Co-op Internships offer high caliber students the opportunity to experience work and life at Pw C, and gain a valuable insight into our business and culture. You’ll work alongside graduate trainees and experienced professionals on live and interesting client projects. You will be doing real work on real clients so be prepared to get involved. The Co-op is due to start in January 2024. The opportunity A career within Tax & Legal services, will provide you with the opportunity to help our clients meet and manage their tax obligations across unique but ever changing tax specialties. You’ll advise clients on their local and overseas tax affairs, while acting as a strategic consultant related to business analysis, managing indirect taxes, dispute resolution, and global enterprise tax solutions. To know more about our Tax & Legal services business: Click here Discover what a career with us is all about, and boost your employability. You’ll find out first-hand if this is the career for you – perform well, and you could be offered a graduate job. Working alongside specialists, you’ll work on client projects to give you the best insight into what we’re about. You’ll have the opportunity to build networks with your colleagues and peer group. Job Description As a co-op you'll gain invaluable industry experience, work with inspiring people driven to make a difference and become a part of a culture that thrives on the diversity of its people. You'll work on client engagements, take part in projects addressing some of the tough challenges and strengthen your skills while witnessing the impact of your contribution. And you'll have a potential fast track into our Graduate Program at the end of the co-op. The teams you could join include: Core Tax Services Global Mobility Transfer Pricing Indirect Taxes International Tax Services and Mergers & Acquisitions Digital Solutions Legal What we are looking for Be eligible for a Co-op internship and available for the full 28 weeks with your university and final year student with a related degree in Law, Economics or similar and a cumulative GPA of 3.0/4Arabic speaking candidates preferred. Have the legal right to work in the country you are applying without restrictions, we do not provide sponsorship for our internships Additional information Develop your skills through one-on-one coaching and mentoring Undertake challenging client work and engagements with potentially broad social impacts Attend networking events Expand your professional and personal networks with like-minded peers Expand your career potential with a globally respected organization We want all of our people to feel empowered to be the best that they can be, find out more about our firm wide Employee Value Proposition: Click Here If this sounds like the opportunity for you, Apply Now!Travel Requirements0%Available for Work Visa Sponsorship?No Government Clearance Required?No For further information, and to apply, please visit our website via the “Apply” button below. ",,2023-10-12,,,,,,,,,True,,1,PwC - United Arab Emirates,Saudi Arabia,Riyadh,
CA - IT Audit - Senior Associate - Riyadh,"Description Established in the region for 40 years, Pw C has around 8,000 people in 12 countries across the region: Bahrain, Egypt, Iraq, Jordan, Kuwait, Lebanon, Libya, Oman, the Palestinian territories, Qatar, Saudi Arabia and the United Arab Emirates. Our regional team operates across the Middle East bringing international experience delivered within the context of the region and its culture. We can bring the collective knowledge and experience of more than 328,000 people across the entire global Pw C network in advisory, assurance and tax to help you find the value you are looking for. Job Description & Summary Controls Assurance is a specialist team within our Audit practice that combines a mix of technology, data, business and accounting expertise to how we audit clients across all industries. In Controls Assurance, we are using our latest tools to help digitize the way we deliver audits through automation, AI, data analytics and innovation. As part of the team you'll have the opportunity to work with a variety of clients, industries and technologies and you'll develop the business skills, knowledge and relationships you need to build a career that's more than just numbers. We're constantly investing in audit technology and the skills of our people to keep up with the rapid pace of change and to deliver trust that is deeper, broader and more forward-looking. Our team uses current and emerging technologies to assist clients with financial reporting, compliance, and operational processes controls. You’ll provide services related to controls around the financial reporting, compliance and operational processes, including business process and Information Technology management controls. We are looking for driven, high achieving and high potential individuals to join our Controls Assurance team. As a CA Senior Associate , you will be managing engagements and will be responsible for designing and developing ways to automate and reimagine audits. Day to day responsibilities will include: Working in a full range of assurance tasks including the planning, testing, reviewing and reporting stages on large and complex client engagements Monitoring junior team members and delivering assignments on time in accordance with the required Pw C audit standards Developing and managing client relationships. Essential skills and experience: Minimum 2 years of experience in covering IT General Controls (ITGC), ERP Configurations (SAP, Oracle) and IT automated controls, SOX Compliance, Business cycle/process controls review and Segregation of Duties testing. Experience in auditing Manufacturing, Financial Service and/or Oil & Gas clients will be preferred Good understanding of accounting knowledge and/ or audit knowledge in relation to controls over financial reporting Solid technical skills and understanding of information systems security and controls across a wide range of systems including operating systems (For ex. Unix, Windows, OS/ 400, etc.), databases (For Ex. Oracle, SQL, etc.), applications and technology tools Experience with data, automation and analytics tools such as ACL, Alteryx, Power BI, Ui Path. Excellent coaching, project management skills and ability to follow through and complete tasks within tight deadlines Demonstrable experience of working on multiple projects, managing your time effectively to deliver high quality work to tight deadlines Commercial acumen and an interest in how complex organisations operate Strong analytical, logic and problem-solving skills. Strong stakeholder management and interpersonal skills, excellent reporting / presentation writing skills Travel Requirements0%Available for Work Visa Sponsorship?Yes Government Clearance Required?Yes For further information, and to apply, please visit our website via the “Apply” button below. ",,2023-10-12,,,,,,,,,True,,1,PwC - United Arab Emirates,Saudi Arabia,Riyadh,
IT operation and maintenance engineer,"Responsible for the overall MES/MLS/QMS/SCADA product incident ticket processing of the Jinzhou production base. can resolve Users fault reports in a timely manner to ensure user satisfaction and improve user experience. Regularly conduct operation and maintenance quality assessment and comparative analysis of MES/MLS/QMS/SCADA products, put forward optimization and improvement suggestions for MES/MLS/QMS/SCADA products, and improve the usability and ease of use of MES/MLS/QMS/SCADA products.  Responsible for the training of new users of ERP/APS/SRM products and user guidance on common issues within the scope, to improve users' proficiency and correct use of MES/MLS/QMS/SCADA products and related IT application systems. Reduce the number of consultation issues within the scope of responsibility. Organize and collect the knowledge base and common system issues of MES/MLS/QMS/SCADA products and form documents. Perform statistical analysis on system failures and propose relevant improvement measures. Assist in the testing of IT projects and operation and maintenance handover evaluation of MES/MLS/QMS/SCADA products, etc. Support the MES/MLS/QMS/SCADA system online switching and other support work for the relevant business units in Jinzhou region.","More than three years of IT work experience.at least one complete implementation experience in IT projects. IT system operation and maintenance experience. A deep understanding of ITIL concepts. Experience in project management and process management Strong sense of customer service. Understand the basic principles and applications of ORACLE database. Be familiar with business operations and processes in the supply chain field. Experience in ERP implementation. Has strong communication skills, learning ability and adaptability. Has the spirit of teamwork and be able to cooperate well with other members of the team to complete work tasks.",2023-10-12,9,0,3,,Experienced (Non-Manager),,,,True,F,1,Midea Group,Egypt,Giza,6th of October
Junior Computer Vision Engineer,"Understand the problem and requirements and create applications, algorithms, test frameworks, and environment Design data, image, and video analytics algorithms and evaluate performance on a large dataset Design, train, and optimize Deep Neural Networks to implement on embedded DSP platforms Implement and integrate algorithms into the overall solution Identify, validate, and document business needs and requirements Gather, research, and analyze system and operation processes and data to understand and formulate problems and opportunities Identify and evaluate solution concepts; formulate core problems into tractable mathematical problems Identify, validate, and document solution requirements Develop, analyze, and document solution architecture; identify and document interface, application, and hardware requirements Research and evaluate image, video, and data analysis algorithms and packages based on image processing or machine learning. Create software development and integration plans, test plans, test cases, and acceptance criteria Design and develop software applications and algorithms Design and develop data-gathering applications and test applications Perform testing; gather, analyze, and document test results Create and review documentation for application release; provide technical training to end users and technical support staff as required  Research, validate, troubleshoot, and resolve system or software issues and provide technical support regarding system or software capabilities, issues, and technical questions Identify, define, gather, and analyze solution operational performance metrics and determine necessary corrective actions and/or improvements. "," Bachelor of Science degree or higher in Computer Science, Engineering, Applied Mathematics, or a related technical field  (0 – 2) years of experience in developing image analytics algorithms and applications using C, C++, or other programming languages Knowledge of Open CV and other open-source image processing, computer vision, or data mining libraries Knowledge of pattern classification, image-based object detection, and object matching Primary experience in building machine learning models and datasets Ability to define system or software requirements and perform requirement analysis Ability to create system or software architecture, design, and specifications Ability to perform system or software design reviews, technical assessments, and trade-off study Ability to create system/software development and integration plans, test plans, and test cases Ability to create and implement advanced algorithms to solve real customer's problems Ability to design and develop software applications Ability to perform system and software integration, installation, configuration, and testing Ability to create technical documentation such as user stories, requirements, design specifications, architectural diagrams, and user manuals Ability to adhere to schedules and work well in a highly collaborative environment on product development projects in a cross-functional, matrix environment and manage the technical team as an assistant Strong Arabic and English language knowledge, both spoken and written. ",2023-10-12,0,0,0,2,Entry Level (Junior Level / Fresh Grad),,,,True,,1,Noases,Egypt,Cairo,
Customer Support Advisor,"Respond to customer queries in a timely and accurate way, via phone, email or chat Identify customer needs and help customers use specific features Analyze and report product malfunctions (for example, by testing different scenarios or impersonating users)Update our internal databases with information about technical issues and useful discussions with customers Monitor customer complaints on social media and reach out to provide assistance Share feature requests and effective workarounds with team members Inform customers about new features and functionalities Follow up with customers to ensure their technical issues are resolved Gather customer feedback and share with our Product, Sales and Marketing teams Assist in training junior Customer Support Representatives",Experience as a Customer Support Specialist or similar CS role Familiarity with our industry is a plus Experience using help desk software and remote support tools Understanding of how CRM systems work Excellent communication and problem-solving skills Multi-tasking abilities Patience when handling tough cases BSc in Information Technology or relevant diploma,2023-10-12,0,0,1,3,Experienced (Non-Manager),Bachelor's Degree,,,True,,5,IQRA Network,Egypt,Cairo,
PHP Developer required,"Developing, debugging, and optimizing PHP code. Interpreting design specifications and functional requirements. Creating consistent code documentation About the job : The job is Full-Time Basis in our company (Nasr City)5 days/week.","Bachelor's degree2+ years of working experience Hands-on experience with PHPStrong database design, implementation, and query development, specifically My SQLGood knowledge of version control and issue tracking tools and of developing web services Demonstrable knowledge of web technologies including HTML, CSS, Java Script, AJAX etc Codeigniter Framework is a must Laravel  Framework ",2023-10-12,15,2,3,,Experienced (Non-Manager),Bachelor's Degree,,,True,,2,Confidential,Egypt,Cairo,Nasr City
Solutions Account Manager - SASE (KSA),"SASE Solution Account Manager Location - Riyadh, Saudi Arabia Fortinet is seeking a SASE Solution Account Manager that will manage and drive sales engagements in a specific territory and partner with Field Sales. The SASE Solution Account Manager will manage a direct quota in specific accounts in a territory and lead customer engagements with Field Sales, Field Systems Engineers, engage with Product Management/Marketing, and end customers to deliver a revenue objective for the SASE product platform. In this role, you will identify complex security challenges within your customers’ environment and drive opportunities to close. Primary Responsibilities: Develop and manage internal sales relationships, as well as, be a key point of contact for SASE opportunities with the end customer Build and implement account / marketing plans for account penetration Generate a sales pipeline, qualify opportunities, and accurately forecast pipeline Achievement of agreed quarterly sales goals Channel effectiveness: Adept at working/developing opportunities with ecosystem partners Excellent communicator including the ability to make engaging and effective presentations to an executive audience Effective in a collaborative environment, particularly interacting with product and business professionals  Collaborate with Regional Sales Managers and Regional Systems Engineers ensuring customers understand how to deliver value to their customers and partners with Forti SASE Establish yourself as a trusted advisor to prospects and customers working with the Field Sales and Engineering teams  Deliver outstanding service and problem resolution to Fortinet customers Required Skills: Fully qualified, experienced sales professional that is forward thinking and has an expert understanding of the technology business sector  Exceptional business and financial acumen with a demonstrated ability to understand both short-term and long-term financial impact of business decisions  Previous experience designing business plans and market strategies  Proven ability with solution selling with a hunter mentality A proven track record of quota achievement and demonstrated career stability  A self-motivated, independent thinker that can move deals through the selling cycle Competitive, Self-starter, Hunter-type mentality. Previous experience in network security.  Knowledgeable in the following technologies SASE, VPN, Firewall, Anti-Virus, Anti-Spam, Intrusion Prevention, and Content Filtering. Strong analytical, communication and presentation skills to evaluate complex problems to find a systematic approach to gain a quick resolution Ability to work independently with little direction – travel will be required in territory Education: Bachelor Degree or equivalent experience. Graduate Degree favorable.",,2023-10-12,,,,,,,,,True,,1,"Fortinet, Inc",Saudi Arabia,Riyadh,
HIS - Application manager,,,2023-10-12,,,,,,,,,True,,1,Almoosa Specialist Hospital,Saudi Arabia,Riyadh,
Trading Services Specialist,"The Trading Services team is the main pillar of client retention and satisfaction bridging market knowledge to client needs to increase customer satisfaction and growth. Every Trading Services team member strives to have a positive impact on the client’s trading experience with Zeal. Giving each client added value and leaving them with a positive impact and increased knowledge. Roles and Responsibilities: Monitor market conditions, innovations, and competitors' services, prices.  Create Webinars and Technical analysis reports  Stay up to date on market news and trends in FX, Commodities, Stocks, and Indices.  Inform customers of market conditions, news, volatility, trading hours, etc. ""market pulse""  Explain stock market terms or trading practices to clients.  Maintain customer records by using the CRM and logging communication.  Increase client redeposits  Answer customers' questions about spreads and trading conditions at Zeal.  Serve as product knowledge expert in FX, Metals, Indices, and/or Commodities  Emphasize or recommend service features based on knowledge of customers' needs and vendor capabilities and limitations.  Explain and articulate Zeal research reports to clients.  Determine customers' trading needs  Advise on trading strategies, options, and risk management strategies.  Handle special projects as requested  Attend client meetings to support sales and account conversions when needed  Support in Dealing and Risk related matters to trading accounts  Do Trade Audit Investigations using our current Audit practice while utilizing CS Team Background: B. Sc. Degree from any discipline  4 years of extensive experience in Forex / Stock and Commodities Trading Services field in at any related sector (Banking, Stock Market, Commodities)  Excellent Financial markets knowledge in FX, Stocks, Commodities  Technical and Fundamental analysis  Strategic Trading skills Ability to deliver and simplify sophisticated reports to attract clients attention Skills & Competencies: Selling Skills Communication skills Customer orientation Learning flexibility  ",,2023-10-12,,,,,,,,,True,,1,Zeal Capital Market (Seychelles) Limited,Egypt,Cairo,
Lead Management Engineer - French Speaker,"Who are we and what we stand for?When you work for Schneider Electric you work for a company that is passionate about its people. Our people vision says, Great people make Schneider Electric a great company. We are proud to promote purpose, diversity, inclusion, learning and work-life integration – we’re a great place to work and we are continually striving to be the best place to work!Your Role – Magic happens when you bring great people together!Develop, document and improve business processes for the marketing organization to meet the goals of the business.   Analyze complex business problems and propose solutions using process and system automation.1. Coordinate cross-functional (and multi-system) process development.2. Maintain process documentation including process change orders.  Define business rules and translate requests into business requirements.3. Communicate business, system, quality, and integration requirements.4. Identify opportunities to improve process.  Troubleshoot and resolve process-related issues.5. Validate functional requirements and system specifications to ensure they meet the needs of the business process.  Conduct process and system testing and training to process experts. About You A bachelor's degree in Engineering3 to 5 years of experience Fluency in French and English is a must Good negotiation and presentation skills High drive to succeed and strong ambition Effective listening & communication skills Sales mindset High customer centricity Knowledge in Salesforce is a plus",,2023-10-12,,,,,,,,,True,,1,Schneider Electric - Egypt,Egypt,Cairo,
Sales Client Executive – Banking/Financial Services -Large Multinational IT,"Sales Client Executive Job Description
•Position is responsible for working with the local account teams to leverage relationships and existing account strategies in the Egyptian financial sector. •Position required to sell the Company’s financial solutions and services to secure new opportunities, maximizing revenue and profitability and increasing the Company's market share. •Executes the sales process by moving new opportunities successfully through the funnel. •Primary focus is on account planning for new Company products in both existing and new users of traditional Company products. •Accountable for building relationships with prospective and competitive customers. •Key interface in defining customer needs and the Company's ability to meet those needs through Company branch solutions. •Serve as the liaison between the customer and the Company for market feedback in regard to issues for new customers escalating any roadblocks to securing the business. •Responsible for proposing and closing deals in the above-mentioned solutions •Targets pre-identified prospects and existing customers within the Egypt banking and financial sector. •Partners with other business units to expand cross-sell opportunities. •Services local clients, typically with responsibility within a single territory/area. •The position requires strong prospecting and proposing skills, the ability to build customer relationships through consultative selling, and promoting customer confidence in the Company. •Must be focused on the development of new business opportunities and closing new accounts allowing us to aggressively penetrate competitive accounts leading to long-term business relationships. Job Requirements
BASIC QUALIFICATIONS: •Bachelor’s Degree. •6-8 years of related experience in the Egyptian financial industry with existing contacts. •Successful experience in value proposition and business case-led selling. •Demonstrated performance and ability to sell value through a Consultative Selling approach. •Strong communication, creative thinking, and presentation skills in English. •Ability to develop senior-level business relationships with account prospects. PREFERRED QUALIFICATIONS: •Experience in selling complex software/applications/services is a plus. •5+ years of related experience Other Vacancies",,2023-10-12,,,,,,,,,True,,1,PILLARS CONSULTANCY & RECRUITMENT,Egypt,Cairo,
L1 Application Support Engineer,"Respond to user inquiries and issues via phone, email, or chat.
Provide assistance with software applications, helping users navigate and resolve basic issues.
Gather information from users to understand the nature of the problem.
Categorize and prioritize issues based on their urgency and impact on users.
Perform initial diagnosis of software-related problems.
Guide users through step-by-step troubleshooting procedures to resolve common issues.
Document user issues and resolutions in a ticketing system.
Ensure accurate and detailed records for future reference and reporting.
Stay updated on new features, updates, and common issues related to the applications.
Escalate complex issues to higher-level support teams (L2 or L3) when necessary.
Provide detailed information for escalated tickets to expedite problem resolution.
Conduct basic training sessions or create documentation to help users understand and use software applications more effectively.
Keep users informed about the status of their reported issues and estimated resolution times.
Provide excellent customer service by being patient, empathetic, and professional.
Ensure a positive experience for users, even in challenging situations.
Monitor system alerts and proactively identify potential issues.
Take preventive measures or escalate as needed to avoid service disruptions.
",,2023-10-12,,,,,,,,,True,,1,Giza Arabia,Saudi Arabia,Riyadh,
Information Technology Supervisor,"We are currently seeking for passionate and dynamic IT professionals who pride themselves on their ability to deliver extraordinary levels of customer service and provide creative solutions to our guests. As an IT Supervisor your role will include key responsibilities such as:• Monitor the operation and security of all computer hardware and ensure that it is operating properly• Serve as primary contact for all servicing of computers, printers, etc.• Maintain a sufficient inventory of all office and computer supplies• Maintain all hardware and software logs updated as per departmental working procedures• Maintain the documentation of all hardware configuration and inventory• Maintain the documentation of the telephone system configuration and all MPT lines• Understand all the department working procedures and perform the related tasks as described• Carry out the repairs and maintenance of all PCs, printers, telephones, interactive system, key lock system, etc.• Maintain all users access request and authorizations (Win2000, E-mail, Opera, Micros, Novell)• Respond to all users request and provide them with adequate support",,2023-10-12,,,,,,,,,True,,1,Al Jaddaf Rotana,United Arab Emirates,Dubai,
IT Systems Administrator,"Job Summary Analyzes existing programs or formulates logic for new systems, devises logic procedures, prepares flowcharting, performs coding and tests/debugs programs. Develops conversion and system implementation plans. Prepares and obtains approval of system and programming documentation. Recommends changes in development, maintenance and system standards. Job Responsibilities 1Principal Accountabilities - Supports and improves the Backup operations, business continuity plans and disaster recovery tests. - Works closely with the broader, global IT team to deliver high quality, secure solutions and ensure internal customer happiness. - Evaluates issues for trends, identifies root-cause for system problems and plans and implements necessary corrective actions and changes. - Audits, Monitors and optimizes systems in order to achieve and maintain maximum performance and availability. - Manages and prioritizes competing project tasks simultaneously. - Actively supports security improvement initiatives. - Develops and provides recommendations to aid in hardware and system software selection, implementation planning and budgeting. - Translates highly complex technical information into concise business terms and optimally communicate across all levels of the business. - Executes and supports monthly and regular reporting and documentation procedures. - Researches and assesses new technology capabilities to support interpersonal growth, improve efficiency and increase maturity. - Upgrade, improve, tune systems, processes, and flows - Support escalations - Patching, maintenance, and troubleshooting of technology - Technology access administration - Research and continuous learning - Making recommendations and executing on technical vision for the organization Job Responsibilities 2Additional Responsibilities 3Job Knowledge & Skills Job Experience Competencies Collaboration Accountability Resilience Quality Leadership Application Server Platforms  L3Application Sizing L3Hardware Management L3Account Access Management L3Creates Strategy - Developing Drives Performance - Developing Develops Future Leaders - Developing Security and Monitoring L3Education","Skills
Analyzes existing programs or formulates logic for new systems, devises logic procedures, prepares flowcharting, performs coding and tests/debugs programs. Develops conversion and system implementation plans. Prepares and obtains approval of system and programming documentation. Recommends changes in development, maintenance and system standards.",2023-10-12,,,,,Manager ,,,,True,,1,Power International Holding,Qatar,Doha,
IT Technology Associate - Riyadh (Nationals only),"Technology has always been at the heart of what we do and deliver at EY. We need technology to keep an organization the size of ours working efficiently. We have 250,000 people in more than 140 countries, all of whom rely on secure technology to be able to do their job every single day.  Everything from the laptops we use, to the ability to work remotely on our mobile devices and connecting our people and our clients, to enabling hundreds of internal tools and external solutions delivered to our clients.  Technology solutions are integrated in the client services we deliver and is key to us being more innovative as an organization. EY Technology supports our technology needs through three business units: Client Technology – focuses on developing new technology for our clients. It enables EY to identify new technology-based opportunities faster and pursue those opportunities more rapidly Enterprise Technology (ET) – ET supports our Core Business Services functions and will deliver fit-for-purpose technology infrastructure at the cheapest possible cost for quality services. ET will also support our internal technology needs by focusing on a better user experience. Information Security (Info Sec) - Info Sec prevents, detects, responds and mitigates cyber-risk, protecting EY and client data, and our information management systems. The opportunity As part of Enterprise Technology, the On-site Technology Support’s mission is to help our customers fulfil their purposes and contribute to building a better working world by providing a fit for purpose support service. The On-site Technology Support Specialist provides this support to customers within the country or site by performing multiple technology support activities. This professional demonstrates ability to prioritize tasks, working with multiple software and hardware technologies, in a fast-paced environment. Your key responsibilities * Facilitate and support the deployment of hardware and software to end users (including the installation, configuration and testing of more complex firm hardware).  * Facilitate and support the provisioning and deprovisioning processing, including setting up of hardware/software for new hires, and receiving hardware from separating employees.  * Assist with (or coordinate) the repair of end user hardware and the reinstallation of software as necessary to resolve end user incidents.  * Resolve incidents associated with firm-standard end user software and hardware, including mobile/hand-held technologies. Identify sources and trends of technical problems to prevent future occurrences.   * Under minimal supervision, provide after-hours service for escalated issues and tasks from the Service Desk or supervisor.   * Perform asset management activities (procurement, receipt, inventory, tracking, distribution, etc.) as assigned and in accordance with firm policy and EY Technology process.  * Assist with off-site technology support for firm sponsored functions/meetings.   * Assist with IT tasks related to office moves, buildouts and relocations.  * Work effectively as “remote hands” for other EY Technology functions, such as Telecommunications and Hosting.  * Maintain a thorough understanding of EY Technology’s organization and service offerings in order to identify how best to address end user technology needs and incidents.  * Understand the Firm’s business and organization sufficiently to anticipate and resolve end user technology issues that affect productivity of Firm personnel * The role receives direct oversight from a supervisor with regular contact to assign and monitor activities Skills and attributes for success * Effective analytical skills are required to address end-user incidents escalated from the service desk or offered by end user o","Skills
We offer a competitive remuneration package where you’ll be rewarded for your individual and team performance. Our comprehensive Total Rewards package includes support for flexible working and career development, and with Flex EY you can select benefits that suit your needs, covering holidays, health and well-being, insurance, savings and a wide range of discounts, offers and promotion",2023-10-12,,,,,Experienced (Non-Manager),,,,True,,1,Ernst & Young - MENA,Saudi Arabia,Riyadh,
Electrical Technician - Rabigh,"Job Summary
Works under the direction of Electrical Supervisor / Engineer, to execute all Preventive, Corrective and Condition based maintenance activities, annual outage and overhauling work activities on plant equipment with strict adherence to safety.
Roles & Responsibilities:
1 Responsible for ensuring the duties of his position are performed in a safe, efficient and effective manner. Comply with NOMAC safety rules and regulations.
2 Perform all the maintenance activities in the plant in a timely and safe manner with strict adherence to the maintenance procedures and work instructions applicable for the respective activities. Document maintenance concerns/history for the equipment.
3 Report to Electrical Supervisor / Engineer for spare parts and consumables required for the activities and update spares availability to cope up with the maintenance requirements.
4 Ensure proper isolations are carried out before starting the maintenance activity on the respective equipment released for maintenance in coordination with Electrical Supervisor and local operator.
5 Trouble-shoot and diagnose problems and perform maintenance on equipment under his jurisdiction. Should have good knowledge related to electrical drawings, wiring diagrams and protection drawings related to the equipment used in the plant.
6 Installs, adjusts, inspects, services and repairs a variety of static and rotating electrical equipment utilized in power and desalination plants.
7 Carry out all necessary preparation required for electrical maintenance to equipment /area assigned to him.
8 Understand working knowledge of equipment operation and associated operating systems.
9 Perform 5S housekeeping in his area of work.
10 Perform other duties as assigned.
 
 
 
 
 
 
 
 
 
 
 
 
 
 ","Skills
Required Skills 
1. Generic awareness of Quality, Occupational Health & Safety and Environment Management system principles
2. Be able to work both in independently and in a team environment completing objectives efficiently with a sense of responsibility.
3. Be able and willing to work in non-ideal environments such as: confined spaces, working at heights and around chemicals.
4. Understand, practice and enforce safe work practices related to the following: respiratory protection, elevated work platforms, fall protection, control of hazardous energy (Lockout/Tag-out procedure), fire protection systems, electrical safety, confined space entry, PPE etc.
5. Knowledge of identification, classification and disposal of waste
6. Knowledge of environmental and health impact of chemicals being used in the plant
7. Knowledge of firefighting equipment
8. Knowledge of First aid measures
9. Basic Knowledge on Power/Water plant operational activities.
10. Basic computer skills
Desired certification / Job specific skill / Training
ISO9001, 14001, OHSAS 18001 awareness/working knowledge is preferred.",2023-10-12,,,5,,Entry Level (Junior Level / Fresh Grad),,,,True,,1,NOMAC,Saudi Arabia,Rabigh,
